Entity,Code,Year,Median (2021 prices) - Income or consumption consolidated,1103374-annotations
Albania,ALB,1996,7.4193306,
Albania,ALB,2002,7.1171546,
Albania,ALB,2005,8.300112,
Albania,ALB,2008,8.9390335,
Albania,ALB,2012,8.768968,
Albania,ALB,2014,8.827485,
Albania,ALB,2015,10.6873455,
Albania,ALB,2016,10.9340105,
Albania,ALB,2017,10.84116,
Albania,ALB,2018,12.386626,
Albania,ALB,2019,12.356349,
Albania,ALB,2020,12.838601,
Algeria,DZA,1988,6.293222,
Algeria,DZA,1995,6.518008,
Algeria,DZA,2011,9.114276,
Angola,AGO,2000,5.30038,
Angola,AGO,2008,5.334158,
Angola,AGO,2018,3.8795104,
Argentina (urban),,1980,27.129507,
Argentina (urban),,1986,27.716042,
Argentina (urban),,1987,24.42986,
Argentina (urban),,1991,16.51407,
Argentina (urban),,1992,17.271112,
Argentina (urban),,1993,17.652037,
Argentina (urban),,1994,17.068842,
Argentina (urban),,1995,15.778318,
Argentina (urban),,1996,15.137418,
Argentina (urban),,1997,16.209293,
Argentina (urban),,1998,14.829559,
Argentina (urban),,1999,14.727661,
Argentina (urban),,2000,14.007322,
Argentina (urban),,2001,12.500795,
Argentina (urban),,2002,8.575318,
Argentina (urban),,2003,12.644422,
Argentina (urban),,2004,14.657603,
Argentina (urban),,2005,16.261774,
Argentina (urban),,2006,18.578272,
Argentina (urban),,2007,19.211332,
Argentina (urban),,2008,20.088896,
Argentina (urban),,2009,21.472273,
Argentina (urban),,2010,22.07074,
Argentina (urban),,2011,23.529959,
Argentina (urban),,2012,23.87211,
Argentina (urban),,2013,24.129427,
Argentina (urban),,2014,21.966805,
Argentina (urban),,2016,22.814356,
Argentina (urban),,2017,24.032763,
Argentina (urban),,2018,21.788387,
Argentina (urban),,2019,20.6713,
Argentina (urban),,2020,18.155481,
Argentina (urban),,2021,19.55321,
Argentina (urban),,2022,18.891396,
Argentina (urban),,2023,18.541737,
Armenia,ARM,1999,4.5130086,
Armenia,ARM,2001,4.3352914,
Armenia,ARM,2002,4.5468674,
Armenia,ARM,2003,4.790289,
Armenia,ARM,2004,5.5517464,
Armenia,ARM,2005,6.250577,
Armenia,ARM,2006,6.7100363,
Armenia,ARM,2007,7.3534274,
Armenia,ARM,2008,7.654393,
Armenia,ARM,2009,6.8470354,
Armenia,ARM,2010,6.8065257,
Armenia,ARM,2011,7.1054845,
Armenia,ARM,2012,7.325222,
Armenia,ARM,2013,7.583237,
Armenia,ARM,2014,7.7391677,
Armenia,ARM,2015,8.170164,
Armenia,ARM,2016,8.863737,
Armenia,ARM,2017,8.011298,
Armenia,ARM,2018,7.971968,
Armenia,ARM,2019,7.717232,
Armenia,ARM,2020,7.6085396,
Armenia,ARM,2021,7.7493024,
Armenia,ARM,2022,7.719168,
Armenia,ARM,2023,7.726025,
Australia,AUS,1981,35.168285,
Australia,AUS,1985,35.588398,
Australia,AUS,1989,36.65997,
Australia,AUS,1995,33.749374,
Australia,AUS,2001,38.27444,
Australia,AUS,2003,39.580814,
Australia,AUS,2004,43.337273,
Australia,AUS,2008,52.49802,
Australia,AUS,2010,53.31642,
Australia,AUS,2014,56.87762,
Australia,AUS,2016,56.544083,
Australia,AUS,2018,57.72186,
Austria,AUT,1994,53.196686,
Austria,AUT,1995,53.111794,
Austria,AUT,1996,51.088028,
Austria,AUT,1997,51.43359,
Austria,AUT,1998,52.055157,
Austria,AUT,1999,54.83327,
Austria,AUT,2000,53.46281,
Austria,AUT,2003,56.889103,
Austria,AUT,2004,59.684605,
Austria,AUT,2005,57.865967,
Austria,AUT,2006,58.128075,
Austria,AUT,2007,60.751087,
Austria,AUT,2008,62.842266,
Austria,AUT,2009,64.20226,
Austria,AUT,2010,65.371284,
Austria,AUT,2011,63.62007,
Austria,AUT,2012,62.673744,
Austria,AUT,2013,64.65023,
Austria,AUT,2014,64.77157,
Austria,AUT,2015,65.393684,
Austria,AUT,2016,67.78355,
Austria,AUT,2017,67.82447,
Austria,AUT,2018,67.09029,
Austria,AUT,2019,68.55568,
Austria,AUT,2020,70.29288,
Austria,AUT,2021,69.28788,
Austria,AUT,2022,72.676445,
Azerbaijan,AZE,1995,5.0028763,
Azerbaijan,AZE,2001,5.688616,
Azerbaijan,AZE,2002,8.0622635,
Azerbaijan,AZE,2003,8.40511,
Azerbaijan,AZE,2004,8.458694,
Azerbaijan,AZE,2005,9.349519,
Bangladesh,BGD,1983,3.0885346,
Bangladesh,BGD,1985,3.2822175,
Bangladesh,BGD,1988,2.9631956,
Bangladesh,BGD,1991,2.9557061,
Bangladesh,BGD,1995,3.253285,
Bangladesh,BGD,2000,3.3425155,
Bangladesh,BGD,2005,3.7180283,
Bangladesh,BGD,2010,4.074886,
Bangladesh,BGD,2016,4.4958982,
Bangladesh,BGD,2022,6.0054884,
Barbados,BRB,2016,15.490099,
Belarus,BLR,1998,3.530649,
Belarus,BLR,1999,3.8123033,
Belarus,BLR,2000,4.2452307,
Belarus,BLR,2001,5.286056,
Belarus,BLR,2002,5.820306,
Belarus,BLR,2003,6.113566,
Belarus,BLR,2004,6.998197,
Belarus,BLR,2005,8.565606,
Belarus,BLR,2006,9.8199005,
Belarus,BLR,2007,11.076935,
Belarus,BLR,2008,11.749794,
Belarus,BLR,2009,11.901384,
Belarus,BLR,2010,13.147676,
Belarus,BLR,2011,13.78349,
Belarus,BLR,2012,15.555289,
Belarus,BLR,2013,17.132704,
Belarus,BLR,2014,17.746912,
Belarus,BLR,2015,16.243313,
Belarus,BLR,2016,15.514869,
Belarus,BLR,2017,15.994223,
Belarus,BLR,2018,17.1178,
Belarus,BLR,2019,18.2747,
Belarus,BLR,2020,18.385334,
Belgium,BEL,1985,35.94146,
Belgium,BEL,1988,37.84417,
Belgium,BEL,1992,41.070175,
Belgium,BEL,1995,47.55007,
Belgium,BEL,1997,47.17243,
Belgium,BEL,2000,51.401764,
Belgium,BEL,2003,50.694218,
Belgium,BEL,2004,52.338894,
Belgium,BEL,2005,53.15002,
Belgium,BEL,2006,53.25091,
Belgium,BEL,2007,53.7829,
Belgium,BEL,2008,54.827045,
Belgium,BEL,2009,55.62808,
Belgium,BEL,2010,55.914806,
Belgium,BEL,2011,55.135868,
Belgium,BEL,2012,56.743336,
Belgium,BEL,2013,56.779152,
Belgium,BEL,2014,56.9095,
Belgium,BEL,2015,58.561443,
Belgium,BEL,2016,57.95664,
Belgium,BEL,2017,58.118523,
Belgium,BEL,2018,59.440945,
Belgium,BEL,2019,61.0438,
Belgium,BEL,2020,61.521175,
Belgium,BEL,2021,63.209538,
Belgium,BEL,2022,61.03689,
Belize,BLZ,1995,8.638168,
Belize,BLZ,2018,14.937734,
Benin,BEN,2003,2.1649947,
Benin,BEN,2011,2.088681,
Benin,BEN,2015,2.22931,
Benin,BEN,2018,3.6546443,
Benin,BEN,2021,4.2000666,
Bhutan,BTN,2003,4.8545265,
Bhutan,BTN,2007,6.3170033,
Bhutan,BTN,2012,8.464354,
Bhutan,BTN,2017,9.467806,
Bhutan,BTN,2022,15.897972,
Bolivia,BOL,1997,8.40879,
Bolivia,BOL,1999,7.733987,
Bolivia,BOL,2000,6.575484,
Bolivia,BOL,2001,7.41622,
Bolivia,BOL,2002,7.0487657,
Bolivia,BOL,2004,8.427477,
Bolivia,BOL,2005,8.427503,
Bolivia,BOL,2006,9.353911,
Bolivia,BOL,2007,9.839085,
Bolivia,BOL,2008,11.382888,
Bolivia,BOL,2009,12.865957,
Bolivia,BOL,2011,14.537914,
Bolivia,BOL,2012,15.029053,
Bolivia,BOL,2013,16.14522,
Bolivia,BOL,2014,16.025192,
Bolivia,BOL,2015,15.803117,
Bolivia,BOL,2016,15.5992565,
Bolivia,BOL,2017,15.895114,
Bolivia,BOL,2018,15.964812,
Bolivia,BOL,2019,16.60422,
Bolivia,BOL,2020,15.8424,
Bolivia,BOL,2021,16.851826,
Bolivia,BOL,2022,16.41189,
Bolivia,BOL,2023,16.84989,
Bolivia (urban),,1990,9.0132,
Bolivia (urban),,1992,6.5328565,
Bosnia and Herzegovina,BIH,2001,12.271811,
Bosnia and Herzegovina,BIH,2004,17.721966,
Bosnia and Herzegovina,BIH,2007,19.653294,
Bosnia and Herzegovina,BIH,2011,18.903507,
Botswana,BWA,1985,2.9904585,
Botswana,BWA,1993,3.6356685,
Botswana,BWA,2002,4.2979746,
Botswana,BWA,2009,6.104132,
Botswana,BWA,2015,5.834312,
Brazil,BRA,1981,4.990563,
Brazil,BRA,1982,5.025797,
Brazil,BRA,1983,4.1259184,
Brazil,BRA,1984,4.1534314,
Brazil,BRA,1985,4.7289424,
Brazil,BRA,1986,7.9294677,
Brazil,BRA,1987,6.0500474,
Brazil,BRA,1988,5.671399,
Brazil,BRA,1989,6.1056075,
Brazil,BRA,1990,5.2624617,
Brazil,BRA,1992,5.292223,
Brazil,BRA,1993,5.4399867,
Brazil,BRA,1995,7.2257648,
Brazil,BRA,1996,7.336615,
Brazil,BRA,1997,7.256575,
Brazil,BRA,1998,7.525867,
Brazil,BRA,1999,7.2347584,
Brazil,BRA,2001,8.2352295,
Brazil,BRA,2002,8.341972,
Brazil,BRA,2003,8.113929,
Brazil,BRA,2004,8.36491,
