Entity,Code,Year,Literacy rate among young men,Literacy rate among young women,World regions according to OWID
Afghanistan,AFG,1979,46,11,
Afghanistan,AFG,2011,62,32,
Afghanistan,AFG,2015,57.73505,25.48416,
Afghanistan,AFG,2021,71,42,
Afghanistan,AFG,2022,83.4,44.17171,
Afghanistan,AFG,2023,,,Asia
Aland Islands,ALA,2023,,,Europe
Albania,ALB,2001,99,99,
Albania,ALB,2008,99,99,
Albania,ALB,2009,94.82,96.61,
Albania,ALB,2011,99,99,
Albania,ALB,2012,99,99,
Albania,ALB,2017,98.58999,99.52556,
Albania,ALB,2005,,99.49,
Albania,ALB,2023,,,Europe
Algeria,DZA,1987,86,62,
Algeria,DZA,2002,94,86,
Algeria,DZA,2006,94,89,
Algeria,DZA,2008,96,92,
Algeria,DZA,2019,64.79,97.9897,
Algeria,DZA,2023,,,Africa
American Samoa,ASM,1980,98,97,
American Samoa,ASM,2023,,,Oceania
Andorra,AND,2023,,,Europe
Angola,AGO,2001,84,63,
Angola,AGO,2014,85,71,
Angola,AGO,2015,83.96919,67.4276,
Angola,AGO,2023,,,Africa
Anguilla,AIA,1984,99,99,
Anguilla,AIA,2023,,,North America
Antigua and Barbuda,ATG,2023,,,North America
Argentina,ARG,1980,96,97,
Argentina,ARG,1991,98,99,
Argentina,ARG,2001,99,99,
Argentina,ARG,2023,,,South America
Armenia,ARM,1989,100,100,
Armenia,ARM,2000,100,100,
Armenia,ARM,2001,100,100,
Armenia,ARM,2011,100,100,
Armenia,ARM,2016,100,100,
Armenia,ARM,2017,100,100,
Armenia,ARM,2020,100,100,
Armenia,ARM,2022,99.64871,99.91656,
Armenia,ARM,2023,,,Asia
Aruba,ABW,2000,99,99,
Aruba,ABW,2010,99,99,
Aruba,ABW,2023,,,North America
Australia,AUS,2023,,,Oceania
Austria,AUT,2023,,,Europe
Austria-Hungary,OWID_AUH,2023,,,Europe
Azerbaijan,AZE,1999,100,100,
Azerbaijan,AZE,2006,100,100,
Azerbaijan,AZE,2007,100,100,
Azerbaijan,AZE,2009,100,100,
Azerbaijan,AZE,2010,100,100,
Azerbaijan,AZE,2011,100,100,
Azerbaijan,AZE,2012,100,100,
Azerbaijan,AZE,2013,100,100,
Azerbaijan,AZE,2014,100,100,
Azerbaijan,AZE,2015,100,100,
Azerbaijan,AZE,2016,100,100,
Azerbaijan,AZE,2017,100,100,
Azerbaijan,AZE,2019,100,100,
Azerbaijan,AZE,2023,100,100,Asia
Bahamas,BHS,2023,,,North America
Bahrain,BHR,1981,90,82,
