Entity,Code,Year,Public health expenditure as a share of GDP
Argentina,ARG,1880,0
Argentina,ARG,1890,0
Argentina,ARG,1900,0
Argentina,ARG,1910,0
Argentina,ARG,1920,0
Argentina,ARG,1930,0
Argentina,ARG,2000,4.499
Argentina,ARG,2001,4.594
Argentina,ARG,2002,4.034
Argentina,ARG,2003,3.774
Argentina,ARG,2004,3.746
Argentina,ARG,2005,3.915
Argentina,ARG,2006,4.019
Argentina,ARG,2007,4.257
Argentina,ARG,2008,4.509
Argentina,ARG,2009,5.672
Argentina,ARG,2010,5.572
Argentina,ARG,2011,5.688
Argentina,ARG,2012,6.144
Argentina,ARG,2013,6.264
Argentina,ARG,2014,6.361
Argentina,ARG,2015,6.853
Argentina,ARG,2016,6.472
Argentina,ARG,2017,6.74
Argentina,ARG,2018,6.151
Argentina,ARG,2019,6.245
Argentina,ARG,2020,7.078
Argentina,ARG,2021,6.522
Argentina,ARG,2022,6.109
Argentina,ARG,2023,6.29
Australia,AUS,1880,0
Australia,AUS,1890,0
Australia,AUS,1900,0
Australia,AUS,1910,0.38
Australia,AUS,1920,0.57
Australia,AUS,1930,0.44
Australia,AUS,1960,1.9194211
Australia,AUS,1961,2.0928643
Australia,AUS,1962,2.237511
Australia,AUS,1963,2.1450713
Australia,AUS,1964,2.1516094
Australia,AUS,1965,2.2281218
Australia,AUS,1966,2.18169
Australia,AUS,1967,2.0213892
Australia,AUS,1968,2.1915185
Australia,AUS,1969,2.306159
Australia,AUS,1970,2.6216624
Australia,AUS,1971,2.785
Australia,AUS,1972,2.762
Australia,AUS,1973,2.738
Australia,AUS,1974,3.121
Australia,AUS,1975,4.2
Australia,AUS,1976,3.825
Australia,AUS,1977,3.687
Australia,AUS,1978,3.68
Australia,AUS,1979,3.586
Australia,AUS,1980,3.663
Australia,AUS,1981,3.573
Australia,AUS,1982,3.594
Australia,AUS,1983,3.8
Australia,AUS,1984,4.296
Australia,AUS,1985,4.335
Australia,AUS,1986,4.4
Australia,AUS,1987,4.273
