Entity,Code,Year,Share of the population using safely managed drinking water services
Afghanistan,AFG,2000,11.093327
Afghanistan,AFG,2001,11.105221
Afghanistan,AFG,2002,12.007733
Afghanistan,AFG,2003,12.909922
Afghanistan,AFG,2004,13.818684
Afghanistan,AFG,2005,14.733853
Afghanistan,AFG,2006,15.648427
Afghanistan,AFG,2007,16.562523
Afghanistan,AFG,2008,17.476011
Afghanistan,AFG,2009,18.388884
Afghanistan,AFG,2010,19.30114
Afghanistan,AFG,2011,20.212885
Afghanistan,AFG,2012,21.123997
Afghanistan,AFG,2013,22.03447
Afghanistan,AFG,2014,22.944302
Afghanistan,AFG,2015,23.85359
Afghanistan,AFG,2016,24.76222
Afghanistan,AFG,2017,25.671417
Afghanistan,AFG,2018,26.581314
Afghanistan,AFG,2019,27.491734
Afghanistan,AFG,2020,28.402506
Afghanistan,AFG,2021,29.313843
Afghanistan,AFG,2022,30.034098
Africa (WHO),,2000,19.306862
Africa (WHO),,2001,19.609863
Africa (WHO),,2002,20.06806
Africa (WHO),,2003,20.540802
Africa (WHO),,2004,21.073881
Africa (WHO),,2005,21.612398
Africa (WHO),,2006,22.179928
Africa (WHO),,2007,22.812088
Africa (WHO),,2008,23.482048
Africa (WHO),,2009,24.178427
Africa (WHO),,2010,24.904018
Africa (WHO),,2011,25.38758
Africa (WHO),,2012,26.165874
Africa (WHO),,2013,26.96988
Africa (WHO),,2014,27.812178
Africa (WHO),,2015,28.69438
Africa (WHO),,2016,29.5712
Africa (WHO),,2017,30.44026
Africa (WHO),,2018,31.250828
Africa (WHO),,2019,31.80987
Africa (WHO),,2020,32.33789
Africa (WHO),,2021,32.86822
Africa (WHO),,2022,33.264328
Albania,ALB,2000,49.13832
Albania,ALB,2001,49.0812
Albania,ALB,2002,48.984764
Albania,ALB,2003,48.885445
Albania,ALB,2004,50.717678
Albania,ALB,2005,52.57833
Albania,ALB,2006,54.467083
Albania,ALB,2007,56.383842
Albania,ALB,2008,58.32848
Albania,ALB,2009,60.300903
Albania,ALB,2010,62.30063
Albania,ALB,2011,64.3274
Albania,ALB,2012,66.38085
Albania,ALB,2013,68.45983
Albania,ALB,2014,70.56326
Albania,ALB,2015,70.59197
Albania,ALB,2016,70.61651
Albania,ALB,2017,70.63694
Albania,ALB,2018,70.65335
Albania,ALB,2019,70.665855
Albania,ALB,2020,70.67454
Albania,ALB,2021,70.705795
Albania,ALB,2022,70.73607
Algeria,DZA,2000,70.078514
Algeria,DZA,2001,70.64218
Algeria,DZA,2002,71.19186
Algeria,DZA,2003,71.72697
Algeria,DZA,2004,72.24755
Algeria,DZA,2005,72.75315
Algeria,DZA,2006,73.24435
Algeria,DZA,2007,73.72072
Algeria,DZA,2008,74.18282
Algeria,DZA,2009,74.627686
Algeria,DZA,2010,75.05681
Algeria,DZA,2011,75.46992
Algeria,DZA,2012,75.86762
Algeria,DZA,2013,76.250145
Algeria,DZA,2014,76.61823
Algeria,DZA,2015,76.97196
Algeria,DZA,2016,76.39486
Algeria,DZA,2017,75.730545
Algeria,DZA,2018,75.03613
Algeria,DZA,2019,73.95388
Algeria,DZA,2020,72.248146
Algeria,DZA,2021,70.54703
Algeria,DZA,2022,70.59793
American Samoa,ASM,2000,80.575195
American Samoa,ASM,2001,81.616714
American Samoa,ASM,2002,82.662636
American Samoa,ASM,2003,83.71297
American Samoa,ASM,2004,84.7677
American Samoa,ASM,2005,85.826836
American Samoa,ASM,2006,86.89037
American Samoa,ASM,2007,87.55782
American Samoa,ASM,2008,87.7875
American Samoa,ASM,2009,88.017166
American Samoa,ASM,2010,88.24684
American Samoa,ASM,2011,88.47651
American Samoa,ASM,2012,88.706184
American Samoa,ASM,2013,88.93586
American Samoa,ASM,2014,89.16553
American Samoa,ASM,2015,89.3952
American Samoa,ASM,2016,89.62488
American Samoa,ASM,2017,89.854546
American Samoa,ASM,2018,89.854546
American Samoa,ASM,2019,89.854546
American Samoa,ASM,2020,89.854546
American Samoa,ASM,2021,89.854546
Americas (WHO),,2000,78.202034
Americas (WHO),,2001,78.39714
Americas (WHO),,2002,78.58096
Americas (WHO),,2003,78.738655
Americas (WHO),,2004,78.8948
Americas (WHO),,2005,78.962524
Americas (WHO),,2006,79.12321
Americas (WHO),,2007,82.537674
Americas (WHO),,2008,82.710014
Americas (WHO),,2009,82.879105
Americas (WHO),,2010,83.04701
Americas (WHO),,2011,83.07879
Americas (WHO),,2012,83.10674
Americas (WHO),,2013,83.17392
Americas (WHO),,2014,83.23802
Americas (WHO),,2015,83.29857
Americas (WHO),,2016,83.34715
Americas (WHO),,2017,83.415955
Americas (WHO),,2018,83.479355
Americas (WHO),,2019,83.56374
Americas (WHO),,2020,83.6085
Americas (WHO),,2021,81.432304
Americas (WHO),,2022,81.45162
Andorra,AND,2000,90.64
Andorra,AND,2001,90.64
Andorra,AND,2002,90.64
Andorra,AND,2003,90.64
Andorra,AND,2004,90.64
Andorra,AND,2005,90.64
Andorra,AND,2006,90.64001
Andorra,AND,2007,90.64001
Andorra,AND,2008,90.64001
Andorra,AND,2009,90.64001
Andorra,AND,2010,90.64
Andorra,AND,2011,90.64
Andorra,AND,2012,90.64
Andorra,AND,2013,90.64
Andorra,AND,2014,90.64
Andorra,AND,2015,90.64
Andorra,AND,2016,90.64
Andorra,AND,2017,90.64001
Andorra,AND,2018,90.64
Andorra,AND,2019,90.64
Andorra,AND,2020,90.64
Andorra,AND,2021,90.64
Andorra,AND,2022,90.64
Armenia,ARM,2000,82.350716
Armenia,ARM,2001,82.45862
Armenia,ARM,2002,82.57382
Armenia,ARM,2003,82.6919
Armenia,ARM,2004,82.81056
Armenia,ARM,2005,82.929756
Armenia,ARM,2006,83.04957
Armenia,ARM,2007,83.16992
Armenia,ARM,2008,83.29089
Armenia,ARM,2009,83.26617
Armenia,ARM,2010,83.24159
Armenia,ARM,2011,83.21717
Armenia,ARM,2012,83.19289
Armenia,ARM,2013,83.16902
Armenia,ARM,2014,83.14535
Armenia,ARM,2015,83.07821
Armenia,ARM,2016,82.93473
Armenia,ARM,2017,82.79146
Armenia,ARM,2018,82.95984
Armenia,ARM,2019,82.822845
Armenia,ARM,2020,82.68582
Armenia,ARM,2021,82.548775
Armenia,ARM,2022,82.41172
Austria,AUT,2000,96.71924
Austria,AUT,2001,96.890495
Austria,AUT,2002,97.06175
Austria,AUT,2003,97.23301
Austria,AUT,2004,97.404274
Austria,AUT,2005,97.57553
Austria,AUT,2006,97.746796
Austria,AUT,2007,97.91805
Austria,AUT,2008,98.08932
Austria,AUT,2009,98.260574
Austria,AUT,2010,98.43184
Austria,AUT,2011,98.603096
Austria,AUT,2012,98.77435
Austria,AUT,2013,98.91264
Austria,AUT,2014,98.91103
Austria,AUT,2015,98.909424
Austria,AUT,2016,98.90781
Austria,AUT,2017,98.906204
Austria,AUT,2018,98.90447
Austria,AUT,2019,98.90262
Austria,AUT,2020,98.90064
Austria,AUT,2021,98.898544
Austria,AUT,2022,98.896324
Azerbaijan,AZE,2000,57.748554
Azerbaijan,AZE,2001,59.488415
Azerbaijan,AZE,2002,60.110435
Azerbaijan,AZE,2003,60.72896
Azerbaijan,AZE,2004,61.343765
Azerbaijan,AZE,2005,61.954678
Azerbaijan,AZE,2006,62.561893
Azerbaijan,AZE,2007,63.165577
Azerbaijan,AZE,2008,63.765392
Azerbaijan,AZE,2009,64.36151
Azerbaijan,AZE,2010,64.956116
Azerbaijan,AZE,2011,65.54863
Azerbaijan,AZE,2012,66.13864
Azerbaijan,AZE,2013,66.725845
Azerbaijan,AZE,2014,67.3097
Azerbaijan,AZE,2015,67.889786
Azerbaijan,AZE,2016,68.46568
Azerbaijan,AZE,2017,69.03699
Azerbaijan,AZE,2018,69.603264
Azerbaijan,AZE,2019,70.16406
Azerbaijan,AZE,2020,70.67331
Azerbaijan,AZE,2021,71.14635
Azerbaijan,AZE,2022,71.6117
Bahrain,BHR,2000,98.88198
Bahrain,BHR,2001,98.8885
Bahrain,BHR,2002,98.89501
Bahrain,BHR,2003,98.90153
Bahrain,BHR,2004,98.90804
Bahrain,BHR,2005,98.91456
Bahrain,BHR,2006,98.921074
Bahrain,BHR,2007,98.92759
Bahrain,BHR,2008,98.927
Bahrain,BHR,2009,98.92508
Bahrain,BHR,2010,98.923164
Bahrain,BHR,2011,98.92124
Bahrain,BHR,2012,98.91933
Bahrain,BHR,2013,98.917404
Bahrain,BHR,2014,98.91549
Bahrain,BHR,2015,98.91357
Bahrain,BHR,2016,98.91165
Bahrain,BHR,2017,98.90973
Bahrain,BHR,2018,98.907814
Bahrain,BHR,2019,98.90589
Bahrain,BHR,2020,98.90398
Bahrain,BHR,2021,98.90398
Bahrain,BHR,2022,98.90398
Bangladesh,BGD,2000,55.318703
Bangladesh,BGD,2001,55.325115
Bangladesh,BGD,2002,55.303715
Bangladesh,BGD,2003,55.278748
Bangladesh,BGD,2004,55.250355
Bangladesh,BGD,2005,55.21885
Bangladesh,BGD,2006,55.183674
Bangladesh,BGD,2007,55.14497
Bangladesh,BGD,2008,55.102875
Bangladesh,BGD,2009,55.057545
Bangladesh,BGD,2010,55.008587
Bangladesh,BGD,2011,54.95632
Bangladesh,BGD,2012,55.30369
Bangladesh,BGD,2013,55.666878
Bangladesh,BGD,2014,56.04548
Bangladesh,BGD,2015,56.440197
Bangladesh,BGD,2016,56.8508
Bangladesh,BGD,2017,57.277603
Bangladesh,BGD,2018,57.720745
Bangladesh,BGD,2019,58.180214
Bangladesh,BGD,2020,58.656
Bangladesh,BGD,2021,59.129845
Bangladesh,BGD,2022,59.109295
Belarus,BLR,2000,81.812706
Belarus,BLR,2001,81.963066
Belarus,BLR,2002,82.11219
Belarus,BLR,2003,82.25976
Belarus,BLR,2004,83.36191
Belarus,BLR,2005,84.4452
Belarus,BLR,2006,85.50994
Belarus,BLR,2007,86.55645
Belarus,BLR,2008,87.58524
Belarus,BLR,2009,88.59596
Belarus,BLR,2010,89.600494
Belarus,BLR,2011,90.58958
Belarus,BLR,2012,91.558914
Belarus,BLR,2013,92.31101
Belarus,BLR,2014,92.40423
Belarus,BLR,2015,92.496704
Belarus,BLR,2016,92.588005
Belarus,BLR,2017,92.678314
Belarus,BLR,2018,92.76655
Belarus,BLR,2019,92.85267
