country,country_name,year,sdg_mentions,total_mentions
COG,Congo,1980,"{'1': 2, '2': 0, '3': 0, '4': 22, '5': 0, '6': 0, '7': 1, '8': 0, '9': 1, '10': 5, '11': 1, '12': 0, '13': 3, '14': 2, '15': 2, '16': 31, '17': 1}",71
COG,Congo,1981,"{'1': 1, '2': 0, '3': 1, '4': 17, '5': 1, '6': 1, '7': 0, '8': 0, '9': 2, '10': 8, '11': 0, '12': 0, '13': 2, '14': 4, '15': 1, '16': 23, '17': 2}",63
COG,Congo,1982,"{'1': 0, '2': 0, '3': 0, '4': 9, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 6, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 22, '17': 0}",39
COG,Congo,1983,"{'1': 1, '2': 0, '3': 1, '4': 10, '5': 1, '6': 0, '7': 1, '8': 1, '9': 0, '10': 6, '11': 0, '12': 1, '13': 2, '14': 0, '15': 0, '16': 12, '17': 0}",36
COG,Congo,1984,"{'1': 2, '2': 1, '3': 1, '4': 21, '5': 0, '6': 2, '7': 0, '8': 6, '9': 0, '10': 6, '11': 2, '12': 3, '13': 3, '14': 1, '15': 1, '16': 32, '17': 1}",82
COG,Congo,1985,"{'1': 1, '2': 0, '3': 1, '4': 18, '5': 1, '6': 2, '7': 0, '8': 0, '9': 1, '10': 7, '11': 0, '12': 0, '13': 3, '14': 0, '15': 2, '16': 19, '17': 0}",55
COG,Congo,1986,"{'1': 1, '2': 3, '3': 0, '4': 23, '5': 0, '6': 2, '7': 0, '8': 6, '9': 0, '10': 9, '11': 0, '12': 1, '13': 5, '14': 0, '15': 0, '16': 26, '17': 0}",76
COG,Congo,1987,"{'1': 0, '2': 0, '3': 0, '4': 13, '5': 1, '6': 0, '7': 0, '8': 1, '9': 1, '10': 4, '11': 0, '12': 1, '13': 2, '14': 0, '15': 0, '16': 17, '17': 0}",40
COG,Congo,1988,"{'1': 0, '2': 0, '3': 0, '4': 30, '5': 1, '6': 0, '7': 0, '8': 1, '9': 1, '10': 2, '11': 0, '12': 1, '13': 4, '14': 0, '15': 0, '16': 39, '17': 0}",79
COG,Congo,1989,"{'1': 1, '2': 0, '3': 1, '4': 31, '5': 2, '6': 0, '7': 2, '8': 7, '9': 0, '10': 11, '11': 0, '12': 1, '13': 7, '14': 1, '15': 3, '16': 38, '17': 1}",106
COG,Congo,1990,"{'1': 4, '2': 1, '3': 3, '4': 23, '5': 1, '6': 2, '7': 0, '8': 5, '9': 2, '10': 4, '11': 0, '12': 0, '13': 11, '14': 5, '15': 11, '16': 38, '17': 0}",110
COG,Congo,1991,"{'1': 1, '2': 1, '3': 2, '4': 15, '5': 1, '6': 1, '7': 1, '8': 2, '9': 4, '10': 7, '11': 1, '12': 0, '13': 6, '14': 2, '15': 8, '16': 31, '17': 3}",86
KOR,Republic of Korea,1991,"{'1': 5, '2': 0, '3': 2, '4': 34, '5': 1, '6': 0, '7': 1, '8': 1, '9': 1, '10': 10, '11': 0, '12': 0, '13': 3, '14': 0, '15': 5, '16': 50, '17': 0}",113
COG,Congo,1992,"{'1': 3, '2': 0, '3': 1, '4': 11, '5': 0, '6': 4, '7': 0, '8': 0, '9': 1, '10': 6, '11': 2, '12': 0, '13': 1, '14': 0, '15': 1, '16': 34, '17': 0}",64
KOR,Republic of Korea,1992,"{'1': 10, '2': 0, '3': 1, '4': 32, '5': 0, '6': 0, '7': 1, '8': 0, '9': 1, '10': 11, '11': 0, '12': 1, '13': 6, '14': 2, '15': 1, '16': 38, '17': 0}",104
COG,Congo,1993,"{'1': 4, '2': 0, '3': 0, '4': 17, '5': 1, '6': 0, '7': 0, '8': 2, '9': 0, '10': 6, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 37, '17': 0}",68
KOR,Republic of Korea,1993,"{'1': 4, '2': 0, '3': 1, '4': 17, '5': 0, '6': 0, '7': 2, '8': 3, '9': 2, '10': 7, '11': 3, '12': 1, '13': 6, '14': 0, '15': 0, '16': 31, '17': 0}",77
